id,city_id,city_name,complaint_type_id,complaint_type_name,latitude,longitude,yes_votes,no_votes,created_at
1393,2,Capiatá,1,Baches,-25.3757605,-57.4082756,0,0,2024-11-06T09:40:03.637214Z
1401,10,Fernando de la Mora,1,Baches,-25.3270758,-57.5624122,0,1,2024-11-06T22:45:03.931533Z
1405,14,San Antonio,1,Baches,-25.40557635,-57.57051786,0,0,2024-11-06T23:00:03.443896Z
1439,1,Asunción,1,Baches,-25.318223,-57.628958,0,0,2024-11-09T11:40:06.515436Z
1455,2,Capiatá,1,Baches,-25.3809736,-57.414382,0,0,2024-11-12T21:25:07.459452Z
1456,2,Capiatá,1,Baches,-25.3809298,-57.4143976,0,0,2024-11-12T21:25:07.632376Z
1466,14,San Antonio,1,Baches,-25.4198615,-57.5386948,0,0,2024-11-14T13:45:07.653646Z
1467,3,Ñemby,1,Baches,-25.3947245,-57.5392346,0,0,2024-11-14T13:55:07.623143Z
1479,2,Capiatá,1,Baches,-25.348022,-57.4793749,0,0,2024-11-16T17:15:10.074468Z
1480,2,Capiatá,1,Baches,-25.3527568,-57.4809875,0,0,2024-11-16T17:15:10.256261Z
1483,2,Capiatá,1,Baches,-25.3604075,-57.4651213,0,0,2024-11-16T17:20:10.269181Z
1484,2,Capiatá,1,Baches,-25.3623297,-57.4609104,0,0,2024-11-16T17:20:10.436624Z
1485,2,Capiatá,1,Baches,-25.36373522,-57.46186882,0,0,2024-11-16T17:20:10.598511Z
1488,5,San Lorenzo,1,Baches,-25.3409816,-57.5072875,0,0,2024-11-16T17:35:09.282834Z
1492,1,Asunción,1,Baches,-25.29023944,-57.57153176,0,0,2024-11-18T16:30:09.053438Z
1499,1,Asunción,1,Baches,-25.3247679,-57.59640568,0,2,2024-11-26T23:03:52.734725Z
1500,1,Asunción,1,Baches,-25.351447,-57.6300184,0,1,2024-11-26T23:03:52.798252Z
1502,11,Villa Elisa,1,Baches,-25.3583927,-57.602139,0,0,2024-11-26T23:03:52.927180Z
1503,11,Villa Elisa,1,Baches,-25.36014074,-57.5971431,0,0,2024-11-26T23:03:52.992890Z
1506,5,San Lorenzo,1,Baches,-25.35629282,-57.56576407,0,0,2024-11-26T23:03:53.189993Z
1507,5,San Lorenzo,1,Baches,-25.356609,-57.5620801,0,0,2024-11-26T23:03:53.250013Z
1511,5,San Lorenzo,1,Baches,-25.3567455,-57.5548547,0,0,2024-11-26T23:03:53.512516Z
1514,5,San Lorenzo,1,Baches,-25.356453,-57.5444658,0,0,2024-11-26T23:03:53.707142Z
1515,5,San Lorenzo,1,Baches,-25.358839,-57.5430261,0,0,2024-11-26T23:03:53.770008Z
1518,5,San Lorenzo,1,Baches,-25.36369918,-57.53031527,0,0,2024-11-26T23:03:53.967167Z
1519,5,San Lorenzo,1,Baches,-25.36033246,-57.52944955,0,0,2024-11-26T23:03:54.027376Z
1520,5,San Lorenzo,1,Baches,-25.3516091,-57.5276553,0,0,2024-11-26T23:03:54.092187Z
1523,1,Asunción,1,Baches,-25.330053907503416,-57.586179909973076,0,0,2025-04-24T18:31:26.833526Z
1524,1,Asunción,1,Baches,-25.294062,-57.634063,0,0,2025-04-25T00:29:55.377173Z
1525,1,Asunción,1,Baches,-25.294062,-57.634063,0,0,2025-04-25T00:32:12.874460Z
1526,1,Asunción,1,Baches,-25.297251,-57.633545,0,0,2025-04-25T00:47:53.889065Z
1527,1,Asunción,1,Baches,-25.297251,-57.633545,0,0,2025-04-25T00:51:41.790372Z
